AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
70511,1593096,07/01/2019,09/28/2021,Nursing Home,WEST MELBOURNE HEALTH & REHABILITATION CENTER,2125 WEST NEW HAVEN AVE,,WEST MELBOURNE,FL,32904,Brevard,(321) 725-7360,2125 WEST NEW HAVEN AVE,,WEST MELBOURNE,FL,32904,Brevard,LICENSED,NORTHPORT HEALTH SERVICES OF FLORIDA  LLC,07/01/1999,RANDALL G BLUE,180,For-Profit,www.westmelbournehealthandrehab.com
55264,1596096,08/01/2019,10/29/2021,Nursing Home,WESTCHESTER GARDENS HEALTH & REHABILITATION,3301 N MCMULLEN BOOTH RD,,CLEARWATER,FL,33761,Pinellas,(727) 785-8335,3301 N MCMULLEN BOOTH RD,,CLEARWATER,FL,33761,Pinellas,LICENSED,WESTCHESTER GARDENS LIMITED PARTNERSHIP,08/01/1990,JOHN DAVID FITTS,120,For-Profit,www.westchestergardens.com
35961056,130471061,10/13/2019,01/10/2022,Nursing Home,WESTMINSTER BALDWIN PARK,2645 LAKE BALDWIN LANE,,ORLANDO,FL,32814,Orange,(407) 621-4100,2645 LAKE BALDWIN LANE,,ORLANDO,FL,32814,Orange,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,10/04/1991,FANLEY ROMELUS,40,Not-For-Profit,http://www.westminstercommunitiesfl.org/
64111,1597096,09/01/2019,11/29/2021,Nursing Home,WESTMINSTER MANOR OF BRADENTON,1700 21ST AVE W,,BRADENTON,FL,34205,Manatee,(941) 748-4161,80 W LUCERNE CIR,,ORLANDO,FL,32801-3779,Orange,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,01/01/1987,JASON PATRICK BRUNNER,59,Not-For-Profit,westminsterretirement.com
23709,1599096,10/01/2019,12/29/2021,Nursing Home,WESTMINSTER OAKS,4449 MEANDERING WAY,,TALLAHASSEE,FL,32308,Leon,(850) 878-1136,4449 MEANDERING WAY,,TALLAHASSEE,FL,32308,Leon,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,11/01/1990,INGRID BLOMGREN,120,Not-For-Profit,www.westminstercommunitiesfl.org
55292,1422096,04/01/2019,06/29/2021,Nursing Home,WESTMINSTER PALMS,830 NORTH SHORE DR NE,,SAINT PETERSBURG,FL,33701,Pinellas,(727) 894-2102,830 NORTH SHORE DR NE,,SAINT PETERSBURG,FL,33701,Pinellas,LICENSED,PALM SHORES RETIREMENT COMMUNITY  INC.,04/01/2003,ERICKA SETTER,42,Not-For-Profit,westminsterretirement.com
64114,1598096,03/01/2019,05/29/2021,Nursing Home,WESTMINSTER POINT PLEASANT,1533 4TH AVE W,,BRADENTON,FL,34205,Manatee,(941) 747-1881,1533 4TH AVE W,,BRADENTON,FL,34205,Manatee,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,01/01/1994,DANIEL GOMEZ,120,Not-For-Profit,westminsterretirement.com
35960965,130471020,10/24/2019,01/21/2022,Nursing Home,WESTMINSTER ST. AUGUSTINE,230 TOWERVIEW DRIVE,,SAINT AUGUSTINE,FL,32092,St. Johns,(904) 940-4801,230 TOWERVIEW DRIVE,,SAINT AUGUSTINE,FL,32092,St. Johns,LICENSED,WESTMINSTER PINES  INC.,10/24/2017,CONNIE M O'DONNELL,30,Not-For-Profit,westminstercommunitiesfl.org
55290,130470995,09/01/2019,11/29/2021,Nursing Home,WESTMINSTER SUNCOAST,1095 PINELLAS POINT DR S,,SAINT PETERSBURG,FL,33705-6272,Pinellas,(727) 867-1131,80 W LUCERNE CIR,,ORLANDO,FL,32801-3779,Orange,LICENSED,SUNCOAST MANOR RETIREMENT COMMUNITY  INC.,01/01/1990,SUSAN SHOFFSTALL,120,Not-For-Profit,http://www.westminstercommunitiesfl.org/
74830,16010961,03/01/2019,05/29/2021,Nursing Home,WESTMINSTER TOWERS,70 WEST LUCERNE CIRCLE,,ORLANDO,FL,32801,Orange,(407) 841-1310,70 WEST LUCERNE CIRCLE,,ORLANDO,FL,32801,Orange,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,10/04/1991,MARK STEPHENSON NIEMEYER,120,Not-For-Profit,www.westminsterretirement.com
74831,1612096,03/01/2019,05/29/2021,Nursing Home,WESTMINSTER WINTER  PARK,1111 S LAKEMONT AVE,STE 101,WINTER PARK,FL,32792-5469,Orange,(407) 647-4083,1111 S LAKEMONT AVE,STE 101,WINTER PARK,FL,32792-5469,Orange,LICENSED,PRESBYTERIAN RETIREMENT COMMUNITIES  INC.,10/04/1991,SUROJIT MOOKERJEE,80,Not-For-Profit,www.westminsterretirement.com
45508,15900961,01/01/2020,03/31/2022,Nursing Home,WESTMINSTER WOODS ON JULINGTON CREEK,25 STATE ROAD 13,,JACKSONVILLE,FL,32259,St. Johns,(904) 287-7300,25 STATE ROAD 13,,JACKSONVILLE,FL,32259,St. Johns,LICENSED,WESLEY MANOR INC,11/16/1996,MARILYN CAMERON,60,Not-For-Profit,http://www.westminstercommunitiesfl.org/
14603,1602096,09/28/2018,12/26/2020,Nursing Home,WESTWOOD NURSING AND REHABILITATION CENTER,1001 MAR-WALT DRIVE,,FORT WALTON BEACH,FL,32547,Okaloosa,(850) 863-5174,1001 MAR-WALT DRIVE,,FORT WALTON BEACH,FL,32547,Okaloosa,LICENSED,WESTWOOD OPERATIONS LLC,09/28/2016,KAREN LUCILLE RIGDON,60,For-Profit,westwoodnursingrehab.com
62909,13830961,05/07/2019,08/04/2021,Nursing Home,WHISPERING OAKS,1514 E CHELSEA ST,,TAMPA,FL,33610,Hillsborough,(813) 238-6406,1514 E CHELSEA ST,,TAMPA,FL,33610,Hillsborough,LICENSED,SENIOR HEALTH TNF  LLC,05/07/2003,ROBERT C MURPHY,240,Not-For-Profit,whisperingoakshealthandrehab.com
33801,1381096,12/01/2019,02/28/2022,Nursing Home,WILLISTON CARE CENTER,300 NW 1ST AVE,,WILLISTON,FL,32696,Levy,(352) 529-9199,300 NW 1ST AVE,,WILLISTON,FL,32696,Levy,LICENSED,WILLISTON FACILITY INC,12/01/2015,ANDREA L PANKHURST,120,For-Profit,www.willistoncc.com
11713,1029096,08/01/2018,10/29/2020,Nursing Home,WILLOWBROOKE COURT AT AZALEA TRACE,10100 HILLVIEW DR,,PENSACOLA,FL,32514,Escambia,(850) 478-5200,10100 HILLVIEW DR,,PENSACOLA,FL,32514,Escambia,LICENSED,ACTS RETIREMENT-LIFE COMMUNITIES  INC.,08/01/2012,JESSICA CAMPOSAGRADO,82,Not-For-Profit,https://www.actsretirement.org/communities/florida/azalea-trace-pensacola/
93106,12460962,11/01/2018,01/29/2021,Nursing Home,WILLOWBROOKE COURT AT INDIAN RIVER ESTATES,2440 CITRUS BLOSSOM CIR,,VERO BEACH,FL,32966-5148,Indian River,(772) 562-8700,2440 CITRUS BLOSSOM CIR,,VERO BEACH,FL,32966-5148,Indian River,LICENSED,ACTS RETIREMENT-LIFE COMMUNITIES  INC.,07/28/2005,ERELYN HICKS,120,Not-For-Profit,actsretirement.org
95047,1514096,01/01/2020,08/29/2021,Nursing Home,WILLOWBROOKE COURT AT ST ANDREWS ESTATES,6152 N VERDE TRAIL,,BOCA RATON,FL,33433,Palm Beach,(561) 487-5200,6152 N VERDE TRAIL,,BOCA RATON,FL,33433,Palm Beach,LICENSED,ACTS RETIREMENT-LIFE COMMUNITIES  INC.,03/03/1995,AIMEE MICHELLE HILTON,89,Not-For-Profit,www.actsretirement.org
95049,1139096,09/01/2019,11/29/2021,Nursing Home,WILLOWBROOKE COURT SKILLED CARE CENTER- EDGEWATER AT BOCA POINTE,23305 BLUE WATER CIRCLE,,BOCA RATON,FL,33433,Palm Beach,(561) 368-5600,23305 BLUE WATER CIRCLE,,BOCA RATON,FL,33433-7053,Palm Beach,LICENSED,ACTS RETIREMENT-LIFE COMMUNITIES  INC.,09/01/1995,DONNA YAM,101,Not-For-Profit,www.actsretirement.org
100617,14050963,09/20/2019,12/18/2021,Nursing Home,WILTON MANORS HEALTH & REHABILITATION CENTER,2675 N ANDREWS AVE,,WILTON MANORS,FL,33311,Broward,9545635711,4042 PARK OAKS BLVD,STE 300,TAMPA,FL,33610-9539,Hillsborough,LICENSED,PALM COURT NH  L.L.C.,09/20/2000,MARIA GARCIA ALBURY,147,For-Profit,www.greystonehealth.com
30402,1608096,01/01/2019,03/03/2021,Nursing Home,WINDSOR HEALTH AND REHABILITATION CENTER,602 E LAURA ST,,STARKE,FL,32091,Bradford,(904) 964-3383,602 E LAURA ST,,STARKE,FL,32091,Bradford,LICENSED,NF WINDSOR  LLC,12/04/2008,IDA CRIBB,120,For-Profit,
55113,16090961,07/01/2019,09/28/2021,Nursing Home,WINDSOR WOODS REHAB AND HEALTHCARE CENTER,13719 DALLAS DR,,HUDSON,FL,34667,Pasco,(727) 862-6795,13719 DALLAS DR,,HUDSON,FL,34667,Pasco,LICENSED,FI WINDSOR WOODS LLC,07/01/2003,DONNA FONTAINE,103,Not-For-Profit,windsorwoodshealthandrehab.com
83613,16300961,07/01/2019,09/28/2021,Nursing Home,WINKLER COURT,3250 WINKLER AVENUE EXTENSION,,FORT MYERS,FL,33916,Lee,(239) 939-4993,3250 WINKLER AVENUE EXTENSION,,FORT MYERS,FL,33916,Lee,LICENSED,FI - WINKLER COURT  LLC,07/01/2003,JOCELYN ELIZABETH WURSTER,120,Not-For-Profit,www.winklercourt.com
74812,1456096,08/01/2019,10/29/2021,Nursing Home,WINTER GARDEN REHABILITATION AND NURSING CENTER,12751 W COLONIAL DRIVE,,WINTER GARDEN,FL,34787,Orange,(407) 877-6636,12751 W COLONIAL DRIVE,,WINTER GARDEN,FL,34787,Orange,LICENSED,WINTER GARDEN REHAB  LLC,08/01/2019,DUANE B MASSEY,120,For-Profit,www.qualityrehabcenter.com
65304,1185096,03/07/2020,03/31/2022,Nursing Home,WINTER HAVEN HEALTH AND REHABILITATION CENTER,202 AVE O NE,,WINTER HAVEN,FL,33881,Polk,(863) 293-3103,202 AVE O NE,,WINTER HAVEN,FL,33881,Polk,LICENSED,SENIOR HEALTH WINTER HAVEN LLC,01/01/2001,DANNY M DAVIS,144,Not-For-Profit,winterhavenhealthandrehab.com
74816,16110963,05/07/2020,01/29/2022,Nursing Home,WINTER PARK CARE & REHABILITATION CENTER,2970 SCARLETT RD,,WINTER PARK,FL,32792,Orange,(407) 671-8030,2970 SCARLETT RD,,WINTER PARK,FL,32792,Orange,LICENSED,LP WINTER PARK  LLC,11/01/2007,NICOLE FULTON,103,For-Profit,https://www.ltcrevolution.com/
95037,13390962,02/01/2020,05/01/2022,Nursing Home,WOOD LAKE HEALTH AND REHABILITATION CENTER,6414 13TH RD S,,GREENACRES,FL,33415-1401,Palm Beach,(561) 478-9900,6414 13TH RD S,,GREENACRES,FL,33415-1401,Palm Beach,LICENSED,6414 13TH ROAD SOUTH OPERATIONS LLC,02/01/2012,TAYLOR L SPAULDING,120,For-Profit,www.consulatehealthcare.com
62915,13320962,12/01/2019,02/28/2022,Nursing Home,WOODBRIDGE CARE CENTER,8720 JACKSON SPRINGS RD,,TAMPA,FL,33615-3210,Hillsborough,(813) 341-5600,8720 JACKSON SPRINGS RD,,TAMPA,FL,33615-3210,Hillsborough,LICENSED,WOODBRIDGE FACILITY INC,12/01/2015,LORE S VINCENT,120,For-Profit,www.woodbridgecarecenter.com
35960991,130471028,07/01/2018,09/28/2020,Nursing Home,WOODLAND GROVE HEALTH & REHABILITATION CENTER,4325 SOUTHPOINT BOULEVARD,,JACKSONVILLE,FL,32216,Duval,9042457620,4325 SOUTHPOINT BLVD,,JACKSONVILLE,FL,32216,Duval,LICENSED,WOODLAND GROVE NH LLC,07/01/2014,TANYA M VICCIARDO,120,For-Profit,www.greystonehealth.com
55260,1614096,04/01/2019,06/29/2021,Nursing Home,WRIGHTS HEALTHCARE AND REHABILITATION CENTER,11300 110TH AVE N,,SEMINOLE,FL,33778-3711,Pinellas,(727) 391-9986,11300 110TH AVE N,,SEMINOLE,FL,33778-3711,Pinellas,LICENSED,LIFESTYLES 1 HEALTHCARE  LLC,04/01/2002,NICKY RUSSELL,60,For-Profit,www.wrightshealthcare.com
62901,10100961,03/09/2020,03/08/2022,Nursing Home,YBOR CITY CENTER FOR REHABILITATION AND HEALING,1709 TALIAFERRO AVE,,TAMPA,FL,33602,Hillsborough,(813) 223-4623,1709 TALIAFERRO AVE,,TAMPA,FL,33602,Hillsborough,LICENSED,YBOR CITY SNF OPERATIONS LLC,03/09/2020,BRIAN CLARK POLLETT,80,For-Profit,www.yborcityhealthandrehab.com
30907,1620096,05/01/2019,07/29/2021,Nursing Home,CITRUS HEALTH AND REHABILITATION CENTER,701 MEDICAL COURT EAST,,INVERNESS,FL,34452,Citrus,(352) 860-0200,701 MEDICAL COURT EAST,,INVERNESS,FL,34452,Citrus,LICENSED,CITRUS NURSING CENTER LLC,05/01/2015,HEIDI YERBURY,111,For-Profit,www.citrushrc.com
111306,1090096,02/01/2020,05/01/2022,Nursing Home,CLARIDGE HOUSE NURSING & REHABILITATION CENTER,13900 NE 3RD COURT,,NORTH MIAMI,FL,33161,Miami-Dade,(305) 893-2288,13900 NE 3RD COURT,,NORTH MIAMI,FL,33161,Miami-Dade,LICENSED,C.H.R. ASSOCIATES  INC.,01/01/1995,EDDIE BURSZTYN,240,For-Profit,www.claridgehousemiami.com
55213,1091096,04/01/2019,06/29/2021,Nursing Home,CLEARWATER CENTER,1270 TURNER ST,,CLEARWATER,FL,33756,Pinellas,(727) 443-7639,1270 TURNER ST,,CLEARWATER,FL,33756,Pinellas,LICENSED,CLEARWATER REHABILITATION CENTER  LLC,04/01/2009,DAVID P JONES,120,Not-For-Profit,clearwatercenter.com
33503,12730962,09/29/2019,12/27/2021,Nursing Home,CLERMONT HEALTH AND REHABILITATION CENTER,151 E MINNEHAHA AVE,,CLERMONT,FL,34711,Lake,(352) 394-2188,151 E MINNEHAHA AVE,,CLERMONT,FL,34711,Lake,LICENSED,ORLANDO REHABILITATION GROUP INC,11/09/2016,STACY LINGENFELTER,182,Not-For-Profit,www.clermonthealthandrehab
82601,1092096,03/31/2020,06/28/2022,Nursing Home,CLEWISTON NURSING & REHABILITATION,301 SOUTH GLORIA ST,,CLEWISTON,FL,33440,Hendry,(863) 983-5123,301 SOUTH GLORIA STREET,,CLEWISTON,FL,33440,Hendry,LICENSED,CLEWISTON NURSING & REHABILITATION LLC,03/31/2016,YVRONISE BREVIL,155,For-Profit,www.clewistonnursingrehab.com
35960985,130471027,10/20/2018,01/17/2021,Nursing Home,CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME,4419 TRAM ROAD,,PANAMA CITY,FL,32404,Bay,(850) 747-5401,4419 TRAM ROAD,,PANAMA CITY,FL,32404,Bay,LICENSED,FLORIDA DEPARTMENT OF VETERAN'S AFFAIRS,10/20/2003,RODNEY C WATFORD,120,Not-For-Profit,www.floridavets.org
35961034,130471050,07/13/2018,10/10/2020,Nursing Home,CLUB HEALTH AND REHABILITATION CENTER AT THE VILLAGES (THE),16529 SE 86TH BELLE MEADE CIRCLE,,THE VILLAGES,FL,32162-5885,Marion,(352) 385-8200,16529 SE 86TH BELLE MEADE CIRCLE,,THE VILLAGES,FL,32162-5885,Marion,LICENSED,MULBERRY GROVE NH LLC,07/13/2012,RICHARD SOEHNER,68,For-Profit,www.greystonehealth.com
35961021,130471044,09/13/2018,12/11/2020,Nursing Home,CLYDE E LASSEN STATE VETERANS NURSING HOME,4650 STATE RD 16,,SAINT AUGUSTINE,FL,32092,St. Johns,(904) 940-2193,4650 STATE RD 16,,SAINT AUGUSTINE,FL,32092,St. Johns,LICENSED,FLORIDA DEPARTMENT OF VETERAN'S AFFAIRS,09/13/2010,K MARGARET KAPLAN,120,Not-For-Profit,www.floridavets.org
46420,1191096,01/01/2020,03/31/2022,Nursing Home,COASTAL HEALTH AND REHABILITATION CENTER,820 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32117,Volusia,(386) 274-4575,820 N  CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32117,Volusia,LICENSED,MF HALIFAX LLC,01/01/2010,KIMBERLY MCKINNEY,120,For-Profit,
74815,1610096,02/01/2020,05/01/2022,Nursing Home,COLONIAL LAKES HEALTH CARE,15204 W COLONIAL DR,,WINTER GARDEN,FL,34787-6042,Orange,(407) 877-2394,15204 W COLONIAL DR,,WINTER GARDEN,FL,34787-6042,Orange,LICENSED,15204 WEST COLONIAL DRIVE OPERATIONS LLC,02/01/2012,KIMBELLA E LANE,180,For-Profit,www.consulatehealthcare.com
74829,1394096,05/01/2020,04/30/2022,Nursing Home,COMMONS AT ORLANDO LUTHERAN TOWERS,210 LAKE AVE,404 MARIPOSA,ORLANDO,FL,32801-3560,Orange,(407) 872-7088,210 LAKE AVE,404 MARIPOSA,ORLANDO,FL,32801-3560,Orange,LICENSED,ORLANDO LUTHERAN TOWERS  INC.,12/16/1991,CATHERINE HENDERSON,168,Not-For-Profit,orlandoseniorhealth.org
62904,1099096,05/13/2020,05/29/2021,Nursing Home,COMMUNITY CONVALESCENT CENTER,2202 W OAK AVE,,PLANT CITY,FL,33563,Hillsborough,(813) 754-3761,2202 W OAK AVE,,PLANT CITY,FL,33563,Hillsborough,LICENSED,LTCSP PLANT CITY LLC,10/15/2004,GEORGE PHILLIP HANLEY,120,Not-For-Profit,http://communitycarehealthandrehab.com
35960906,130470978,01/01/2020,03/31/2022,Nursing Home,COMMUNITY HEALTH AND REHABILITATION CENTER,3611 TRANSMITTER ROAD,,PANAMA CITY,FL,32404-9799,Bay,(850) 747-9688,3611 TRANSMITTER ROAD,,PANAMA CITY,FL,32404-9799,Bay,INACTIVE,REHABILITATION CENTER LLC,06/18/2013,MARIANNE MARTIN,120,For-Profit,
55215,1100096,01/01/2020,03/31/2022,Nursing Home,CONCORDIA MANOR,321 13TH AVE N,,SAINT PETERSBURG,FL,33701,Pinellas,(727) 822-3030,321 13TH AVE N,,SAINT PETERSBURG,FL,33701,Pinellas,LICENSED,SENIOR HEALTH CONCORDIA LLC,01/01/2001,MARCIA MARY JACKSON,39,Not-For-Profit,www.concordiamanor.com
62937,1260095,05/01/2020,07/29/2022,Nursing Home,CONCORDIA VILLAGE OF TAMPA,4100 E FLETCHER AVE,,TAMPA,FL,33613-4864,Hillsborough,(813) 632-2352,4100 E FLETCHER AVE,,TAMPA,FL,33613-4864,Hillsborough,LICENSED,CONCORDIA OF FLORIDA INC,05/01/2018,MICHELE CAPURSO,163,Not-For-Profit,www.concordialm.org
65317,10150962,07/25/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE AT LAKE PARKER,2020 W LAKE PARKER DR,,LAKELAND,FL,33805-5005,Polk,(863) 682-7580,2020 W LAKE PARKER DR,,LAKELAND,FL,33805-5005,Polk,LICENSED,LAKE PARKER FACILITY OPERATIONS  LLC,01/01/2007,MICHAEL J DESMOND,120,For-Profit,www.consulatehealthcare.com
75908,1017096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE AT WEST ALTAMONTE,1099 WEST TOWN PARKWAY,,ALTAMONTE SPRINGS,FL,32714,Seminole,(407) 865-8000,1099 WEST TOWN PARKWAY,,ALTAMONTE SPRINGS,FL,32714,Seminole,LICENSED,WEST ALTAMONTE FACILITY OPERATIONS  LLC,01/01/2007,ROBERT HENIGE,116,For-Profit,Consulatehealthcare.com
55115,10140961,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF BAYONET POINT,8132 HUDSON AVENUE,,HUDSON,FL,34667-8571,Pasco,(727) 863-3100,8132 HUDSON AVENUE,,HUDSON,FL,34667-8571,Pasco,LICENSED,BAYONET POINT FACILITY OPERATIONS  LLC,01/01/2007,MARYANN F DOMINGO,120,For-Profit,www.consulatehealthcare.com
62917,1577096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF BRANDON,701 VICTORIA ST,,BRANDON,FL,33510-4100,Hillsborough,(813) 681-4220,701 VICTORIA ST,,BRANDON,FL,33510-4100,Hillsborough,LICENSED,BRANDON FACILITY OPERATIONS  LLC,01/01/2007,LAURA J HARABURDA,120,For-Profit,www.consulateheathcare.com
41632,1647096,04/01/2019,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF JACKSONVILLE,4101 SOUTHPOINT DRIVE EAST,,JACKSONVILLE,FL,32216,Duval,(904) 296-6800,4101 SOUTHPOINT DRIVE EAST,,JACKSONVILLE,FL,32216,Duval,LICENSED,JACKSONVILLE FACILITY OPERATIONS  LLC,01/01/2007,TIFFANY L COFFEY,116,For-Profit,Consulatehealthcare.com
35960940,130471004,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF KISSIMMEE,2511 JOHN YOUNG PARKWAY NORTH,,KISSIMMEE,FL,34741,Osceola,(407) 931-3336,2511 JOHN YOUNG PARKWAY NORTH,,KISSIMMEE,FL,34741,Osceola,LICENSED,KISSIMMEE FACILITY OPERATIONS  LLC,10/01/2012,DEVON A PALMER,120,For-Profit,Consulatehealthcare.com
65306,1245095,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF LAKELAND,5245 N SOCRUM LOOP RD,,LAKELAND,FL,33809,Polk,(863) 859-1446,5245 N SOCRUM LOOP RD,,LAKELAND,FL,33809-4253,Polk,LICENSED,LAKELAND FACILITY OPERATIONS  LLC,01/01/2007,AILEEN K JONES,120,For-Profit,Consulatehealthcare.com
70516,16220961,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF MELBOURNE,3033 SARNO RD,,MELBOURNE,FL,32934,Brevard,(321) 255-9200,3033 SARNO RD,,MELBOURNE,FL,32934,Brevard,LICENSED,MELBOURNE FACILITY OPERATIONS  LLC,10/01/2012,AMANDA M ADAMS,167,For-Profit,Consulatehealthcare.com
55105,1429096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF NEW PORT RICHEY,8417 OLD COUNTY RD 54,,NEW PORT RICHEY,FL,34653,Pasco,(727) 376-1585,8417 OLD COUNTY RD 54,,NEW PORT RICHEY,FL,34653-6418,Pasco,LICENSED,NEW PORT RICHEY FACILITY OPERATIONS  LLC,01/01/2007,DANIEL L FRENDEN,120,For-Profit,Consulatehealthcare.com
83607,1444096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF NORTH FORT MYERS,991 PONDELLA RD,,NORTH FORT MYERS,FL,33903,Lee,(239) 995-8809,991 PONDELLA RD,,NORTH FORT MYERS,FL,33903,Lee,LICENSED,NORTH FORT MYERS FACILITY OPERATIONS  LLC,01/01/2007,BETTE J CARLSON,120,For-Profit,Consulatehealthcare.com
41004,1016095,01/20/2019,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF ORANGE PARK,1215 KINGSLEY AVE,,ORANGE PARK,FL,32073,Clay,(904) 269-8922,1215 KINGSLEY AVE,,ORANGE PARK,FL,32073,Clay,LICENSED,ORANGE PARK FACILITY OPERATIONS  LLC,01/01/2007,KENYONN DEMPS,120,For-Profit,Consulatehealthcare.com
35960882,130470965,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF PENSACOLA,235 WEST AIRPORT BLVD,,PENSACOLA,FL,32505,Escambia,(850) 857-5200,235 WEST AIRPORT BLVD,,PENSACOLA,FL,32505,Escambia,LICENSED,PENSACOLA FACILITY OPERATIONS  LLC,01/01/2007,SHALONDA M MORTON,120,For-Profit,Consulatehealthcare.com
35960922,130470983,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF PORT CHARLOTTE,18480 COCHRAN BLVD,,PORT CHARLOTTE,FL,33948,Charlotte,(941) 743-4700,18480 COCHRAN BLVD,,PORT CHARLOTTE,FL,33948,Charlotte,LICENSED,PORT CHARLOTTE FACILITY OPERATIONS  LLC,01/01/2007,MELISSA A. SHEPARD,120,For-Profit,Consulatehealthcare.com
55242,1018096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF SAFETY HARBOR,1410 DR MARTIN LUTHER KING JR ST N,,SAFETY HARBOR,FL,34695-3303,Pinellas,(727) 726-1181,1410 DR MARTIN LUTHER KING JR ST N,,SAFETY HARBOR,FL,34695-3303,Pinellas,LICENSED,SAFETY HARBOR FACILITY OPERATIONS  LLC,01/01/2007,RAYMOND D CHARPENTIER,120,For-Profit,Consulatehealthcare.com
35960915,130470982,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF SARASOTA,4783 FRUITVILLE ROAD,,SARASOTA,FL,34232,Sarasota,(941) 378-8000,4783 FRUITVILLE ROAD,,SARASOTA,FL,34232,Sarasota,LICENSED,SARASOTA FACILITY OPERATIONS  LLC,01/01/2007,ELAINE M BOYER,81,For-Profit,Consulatehealthcare.com
55278,1639096,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF ST PETERSBURG,9393 PARK BLVD,,SEMINOLE,FL,33777-4140,Pinellas,(727) 391-2200,9393 PARK BLVD,,SEMINOLE,FL,33777-4140,Pinellas,LICENSED,ST PETERSBURG FACILITY OPERATIONS  LLC,01/01/2007,JOUMANA I HAMAOUI,120,For-Profit,Consulatehealthcare.com
23706,1019096,11/25/2019,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF TALLAHASSEE,1650 PHILLIPS RD,,TALLAHASSEE,FL,32308,Leon,(850) 942-9868,1650 PHILLIPS RD,,TALLAHASSEE,FL,32308,Leon,LICENSED,TALLAHASSEE FACILITY OPERATIONS  LLC,01/01/2007,MACK A WILLIAMS,120,For-Profit,Consulatehealthcare.com
93102,1247096,02/09/2020,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF VERO BEACH,1310 37TH ST,,VERO BEACH,FL,32960-4860,Indian River,(772) 569-5107,1310 37TH ST,,VERO BEACH,FL,32960-4860,Indian River,LICENSED,VERO BEACH FACILITY OPERATIONS  LLC,01/01/2007,NICOLE JORDAN,159,For-Profit,Consulatehealthcare.com
95032,15950961,10/01/2018,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF WEST PALM BEACH,1626 DAVIS RD,,WEST PALM BEACH,FL,33406-5640,Palm Beach,(561) 439-8897,1626 DAVIS RD,,WEST PALM BCH,FL,33406-5640,Palm Beach,LICENSED,WEST PALM BEACH FACILITY OPERATIONS  LLC,01/01/2007,JOHN F KELLY,120,For-Profit,Consulatehealthcare.com
35960929,130470990,10/11/2019,12/29/2020,Nursing Home,CONSULATE HEALTH CARE OF WINTER HAVEN,2701 LAKE ALFRED RD,,WINTER HAVEN,FL,33881,Polk,(863) 298-5000,2701 LAKE ALFRED RD,,WINTER HAVEN,FL,33881-1432,Polk,LICENSED,WINTER HAVEN FACILITY OPERATIONS  LLC,01/01/2007,YOLANDA JEFFERSON,120,For-Profit,Consulatehealthcare.com
74821,11020963,12/01/2019,02/28/2022,Nursing Home,CONWAY LAKES HEALTH & REHABILITATION CENTER,5201 CURRY FORD ROAD,,ORLANDO,FL,32812,Orange,(407) 384-8838,5201 CURRY FORD ROAD,,ORLANDO,FL,32812,Orange,LICENSED,CONWAY LAKES NC  LLC,12/01/2003,JOSHUA L WAGONER,120,For-Profit,www.conwaylakesrehab.com
